Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.005087367362446255     4216                     10.867703729107207       388.08353068441755       0.12375899969872795      0.44800058918995017      0                        0                        0.9999507000000001       0.05000000000000001      0.09997162466528868      0.027776118669862626     0.01                     0.4908322966657579       2.5e-06                  0.55615234375            -0.7593965               1.456821                 
200                      0.31182508813010323      871760                   13.48950712940621        531.8196099435395        0.1200603771208467       0.4561018839929535       0                        0                        0.9891064                0.05                     0.09392171194105958      0.0010216988764568669    0.01                     0.3785928077995777       2.5e-06                  0.08984375               -0.01219857              0.20181239               
400                      0.6156942455636131       1739304                  14.320000625300978       568.3079713906238        0.11945927201588691      0.4558952219518396       0                        0                        0.9782621                0.05                     0.0882379175438391       0.0005338564448038596    0.01                     0.3797584886197001       2.5e-06                  0.117431640625           0.0046052733             0.13576202               
600                      0.9208119283782111       2606831                  14.604445287899953       578.1991959032648        0.11945927201588691      0.4558952219518396       0                        0                        0.9674180125             0.05                     0.08289818675250743      0.0004957582571023522    0.01                     0.3815557607449591       2.5e-06                  0.098388671875           0.001455891              0.14359088               
800                      1.224120730360349        3473015                  14.71336295199735        581.571267128094         0.11945927201588691      0.4558952219518396       0                        0                        0.9565907124999999       0.05                     0.07788911714668105      0.0004136659455298286    0.01                     0.3706238662125543       2.5e-06                  0.075927734375           0.0044296132             0.09551234               
1000                     1.5267513401640787       4334456                  14.834362294051726       580.7640159736691        0.11945927201588691      0.4558952219518396       0                        0                        0.9458227                0.05                     0.07320769786962242      0.0004122606407577223    0.01                     0.37355525069870055      2.5e-06                  0.0791015625             -0.017087417             0.12056739               
1200                     1.8307199762927162       5186904                  15.092001117123775       586.0877637976895        0.11945927201588691      0.4558952219518396       0                        0                        0.9351670999999999       0.049999999999999996     0.06885218864715768      0.0005363572780652248    0.01                     0.37333507800940424      2.5e-06                  0.08251953125            0.008223343              0.087573335              
1400                     2.135181191696061        6024664                  14.979638061642149       589.86021486965          0.11945927201588691      0.4558952219518396       0                        0                        0.9246951                0.05                     0.0648242871972844       0.00036406115464160393   0.01                     0.3709139716811478       2.5e-06                  0.12255859375            -0.0022639062            0.1435912                
1600                     2.4419076283772787       6878576                  15.58017750436102        588.238201114935         0.11945927201588691      0.4558952219518396       0                        0                        0.9140214                0.05                     0.06096119896809964      0.00031701252476068476   0.01                     0.37166028132196516      2.5e-06                  0.09814453125            0.005864609              0.09680756               
1800                     2.7420506499210995       7716206                  15.93916923492566        589.043283349454         0.11945927201588691      0.4558952219518396       0                        0                        0.903551025              0.05                     0.05739546285217786      0.0003798925059186331    0.01                     0.36994229501578957      2.5e-06                  0.029052734375           -0.036028463             0.09492909               
2000                     3.041770468155543        8555854                  17.11123188559214        590.0125393109367        0.11945927201588691      0.4558952219518396       0                        0                        0.893055625              0.05                     0.0540305094510397       0.000460736926129357     0.01                     0.3677855704445392       2.5e-06                  0.069091796875           -0.021462418             0.09058336               
2200                     3.33922793355253         9398542                  18.507234984045624       591.6353678550988        0.11945927201588691      0.4558952219518396       0                        0                        0.882520325              0.05                     0.05085115392832253      0.0002351018775925695    0.01                     0.3850506069138646       2.5e-06                  0.085205078125           0.01123507               0.070132874              
2400                     3.638886355492804        10251984                 20.342326405052958       590.7180965744559        0.11945927201588691      0.4558952219518396       0                        0                        0.8718524999999999       0.049999999999999996     0.04782238704015005      0.0002855729690622866    0.01                     0.37044594332110137      2.5e-06                  0.087646484375           0.007982101              0.0861422                
2600                     3.9376286577516133       11105595                 22.67430524146429        589.7138850545434        0.11945927201588691      0.4558952219518396       0                        0                        0.8611825625             0.05                     0.04497347090134515      0.00039581560042734054   0.01                     0.3758302383357659       2.5e-06                  0.11767578125            0.00031102687            0.09458049               
2800                     4.233112082746294        11951958                 25.57318484122458        592.2080853398191        0.11945927201588691      0.4558952219518396       0                        0                        0.850603325              0.05                     0.04231636090915431      0.0002839398362351965    0.01                     0.36456727751475926      2.5e-06                  0.10363051470588236      -0.014517017             0.108058736              
3000                     4.526674267517196        12802174                 27.945105648225493       591.9326534087711        0.11945927201588691      0.4558952219518396       0                        0                        0.839975925              0.05                     0.03980520019615444      0.00020403133953550423   0.01                     0.3797565898858011       2.5e-06                  0.07666015625            -0.0050760396            0.06274036               
3200                     4.817305876546436        13655362                 33.4927836946975         589.6264361688977        0.11945927201588691      0.4558952219518396       0                        0                        0.829311575              0.05                     0.037435094820218465     0.00017443418656672719   0.01                     0.37865179273135524      2.5e-06                  0.08547794117647059      -0.00015428854           0.0736789                
3400                     5.1013007039493985       14500016                 37.536605686024025       591.8405371756767        0.11945927201588691      0.4558952219518396       0                        0                        0.8187539                0.05                     0.03522773737576716      0.0002424324042401756    0.01                     0.3824656796367729       2.5e-06                  0.08524816176470588      -0.0142389               0.101546764              
3600                     5.3865388583474685       15350952                 43.96279676509985        591.1639594396529        0.11945927201588691      0.4558952219518396       0                        0                        0.8081178                0.05                     0.03313557413911669      0.00016672749598001246   0.01                     0.37311237526591867      2.5e-06                  0.089111328125           0.0024473795             0.07191703               
3800                     5.670587250325415        16208768                 51.94172077332368        593.0186122205367        0.11945927201588691      0.4558952219518396       0                        0                        0.7973958999999999       0.05                     0.03115227371076026      0.00015330714011403923   0.01                     0.3734011894420666       2.5e-06                  0.12224264705882353      0.026538314              0.06384084               
4000                     5.954045946465598        17073883                 60.0045827698322         591.7188025763863        0.11945927201588691      0.4558952219518396       0                        0                        0.7865828625             0.05                     0.02927232081640262      0.00018245922703701782   0.01                     0.37232067642940414      2.5e-06                  0.1134982638888889       -0.020071818             0.068056814              
4200                     6.235641400681602        17947693                 68.95778870300686        593.1334103518595        0.11945927201588691      0.4558952219518396       0                        0                        0.7756612374999999       0.05                     0.027488629878330895     0.0002065127841035519    0.01                     0.37072136264760047      2.5e-06                  0.075439453125           -0.007332423             0.07858814               
4400                     6.512183977497949        18825671                 82.34779792448528        591.8916404402099        0.11945927201588691      0.4558952219518396       0                        0                        0.7646878125000001       0.05                     0.025805930972013575     0.00022228055797099576   0.01                     0.3799113929271698       2.5e-06                  0.10983455882352941      0.0068860957             0.06442011               
4600                     6.789729586243629        19716474                 95.85273327266226        592.3394286237933        0.11945927201588691      0.4558952219518396       0                        0                        0.753554175              0.05                     0.024203904879410106     0.00022477998819388296   0.01                     0.3626257751725222       2.5e-06                  0.1946957236842105       -0.027663888             0.066606335              
4800                     7.06497338645988         20599067                 111.49861513883653       593.8419369454564        0.11945927201588691      0.4558952219518396       0                        0                        0.7425233625000001       0.05                     0.02271477327186776      0.000113676668828894     0.01                     0.3853728604551993       2.5e-06                  0.05242598684210526      0.0042322716             0.08059427               
5000                     7.349625599516763        21519819                 129.61501763162644       593.9005073650255        0.11945927201588691      0.4558952219518396       0                        0                        0.7310158625             0.05                     0.021258844548824096     0.0002330804356782156    0.01                     0.3802569951204693       2.5e-06                  0.12178308823529412      -0.047666863             0.20029567               
5200                     7.636339473327001        22450034                 151.08615577636527       593.7651387502021        0.11945927201588691      0.4558952219518396       0                        0                        0.719390375              0.05                     0.019882726452025528     0.00016859505312822877   0.01                     0.3737414179369807       2.5e-06                  0.08027343749999999      -0.02515529              0.075191535              
5400                     7.923863671951824        23389670                 175.185773395907         593.2336898429297        0.11945927201588691      0.4558952219518396       0                        0                        0.707647425              0.05                     0.01858311705399843      0.00015294828752606313   0.01                     0.3752223421922988       2.5e-06                  0.05967881944444445      -0.029842224             0.071273826              
5600                     8.212921924524837        24335871                 202.6254482043479        593.4393402224147        0.11945927201588691      0.4558952219518396       0                        0                        0.6958228125             0.05                     0.017360292220561867     0.00013197455114095648   0.01                     0.3800066217780113       2.5e-06                  0.0931640625             0.012419407              0.051067956              
5800                     8.541730721857812        25420632                 239.12574259387992       593.3067113615862        0.11945927201588691      0.4558952219518396       0                        0                        0.6822670000000001       0.05                     0.016057114342944007     0.0001364118210555413    0.01                     0.3666549395614614       2.5e-06                  0.09847005208333334      -0.021848816             0.062429138              
6000                     8.821573169562551        26338944                 273.92118269157714       594.180375429782         0.11945927201588691      0.4558952219518396       0                        0                        0.6707917                0.05                     0.015030701497257925     0.00012061717433829876   0.01                     0.37256323194338214      2.5e-06                  0.10069444444444445      -0.017212998             0.06426924               
6200                     9.121402234236399        27313976                 314.72170940457295       593.8180521937445        0.11945927201588691      0.4558952219518396       0                        0                        0.658608                 0.05                     0.014012641140513649     0.0001116066960094031    0.01                     0.3696532474742049       2.5e-06                  0.08537946428571429      -0.01601539              0.06609758               
6400                     9.463815871808263        28437110                 367.29775248944065       595.1729495350343        0.11945927201588691      0.4558952219518396       0                        0                        0.6445742250000001       0.05                     0.012925149124876129     0.0002299722747807209    0.01                     0.36513741749028367      2.5e-06                  0.11083984375            -0.024717724             0.061530188              
6600                     9.851215849849913        29727674                 436.24605842475773       594.8953555349165        0.11945927201588691      0.4558952219518396       0                        0                        0.628449275              0.05                     0.01177940048481153      9.84084125744191e-05     0.01                     0.3763325816213057       2.5e-06                  0.10829741379310345      -0.0029770266            0.055455144              
6800                     10.23585327234533        31013714                 514.0072876256093        594.2255759612102        0.11945927201588691      0.4558952219518396       0                        0                        0.612381775              0.05                     0.01073876744375437      9.15890555274125e-05     0.01                     0.38764864951372147      2.5e-06                  0.15303308823529413      -0.031119717             0.06256381               
7000                     10.507560798989402       31913598                 574.1683547600908        595.0318814132974        0.11945927201588691      0.4558952219518396       0                        0                        0.601139525              0.05                     0.010065811947084871     0.00011742800997557137   0.01                     0.3719124345991172       2.5e-06                  0.06332236842105263      -0.023816027             0.06713571               
7200                     10.795602591302659       32876182                 582.5449194881818        594.5832355775003        0.11945927201588691      0.4558952219518396       0                        0                        0.589107925              0.05                     0.009392253644635128     0.00010970889372018926   0.01                     0.3712059762328863       2.5e-06                  0.13856907894736842      -0.008899524             0.05541249               
